Date,App_Name,Category,Minutes_Used
2026-07-25,VS Code,Coding,180
2026-07-25,ChatGPT,Productivity,45
2026-07-25,Chrome,Education,60
2026-07-25,WhatsApp,Communication,35
2026-07-25,Spotify,Music,50
2026-07-25,Instagram,Social Media,25
2026-07-25,Gmail,Productivity,15
2026-07-26,YouTube,Entertainment,140
2026-07-26,Netflix,Entertainment,180
2026-07-26,Instagram,Social Media,95
2026-07-26,WhatsApp,Communication,40
2026-07-26,Spotify,Music,60
2026-07-26,LinkedIn,Social Media,25
2026-07-27,VS Code,Coding,150
2026-07-27,Chrome,Education,75
2026-07-27,ChatGPT,Productivity,50
2026-07-27,WhatsApp,Communication,30
2026-07-27,Gmail,Productivity,20
2026-07-27,Spotify,Music,40
2026-07-27,Instagram,Social Media,20
2026-07-28,WhatsApp,Communication,45
2026-07-28,Spotify,Music,50
2026-07-28,Gmail,Productivity,15
2026-07-28,Chrome,Education,35
2026-07-28,Instagram,Social Media,20
2026-07-28,LinkedIn,Social Media,15
2026-07-29,Instagram,Social Media,150
2026-07-29,YouTube,Entertainment,120
2026-07-29,WhatsApp,Communication,65
2026-07-29,Netflix,Entertainment,90
2026-07-29,Spotify,Music,45
2026-07-29,LinkedIn,Social Media,30
2026-07-29,Gmail,Productivity,10
2026-07-30,VS Code,Coding,120
2026-07-30,ChatGPT,Productivity,40
2026-07-30,Chrome,Education,45
2026-07-30,WhatsApp,Communication,30
2026-07-30,Spotify,Music,35
2026-07-30,Instagram,Social Media,25
2026-07-31,VS Code,Coding,210
2026-07-31,ChatGPT,Productivity,60
2026-07-31,Chrome,Education,55
2026-07-31,WhatsApp,Communication,30
2026-07-31,Spotify,Music,45
2026-07-31,LinkedIn,Social Media,25
2026-07-31,Gmail,Productivity,15
2026-08-01,Netflix,Entertainment,210
2026-08-01,YouTube,Entertainment,110
2026-08-01,Instagram,Social Media,85
2026-08-01,WhatsApp,Communication,40
2026-08-01,Spotify,Music,60
2026-08-01,LinkedIn,Social Media,20
2026-08-02,WhatsApp,Communication,50
2026-08-02,Spotify,Music,45
2026-08-02,Chrome,Education,40
2026-08-02,Gmail,Productivity,15
2026-08-02,Instagram,Social Media,25
2026-08-02,LinkedIn,Social Media,15
2026-08-03,VS Code,Coding,140
2026-08-03,ChatGPT,Productivity,45
2026-08-03,WhatsApp,Communication,35
2026-08-03,Chrome,Education,40
2026-08-03,Spotify,Music,30
2026-08-03,Instagram,Social Media,20
2026-08-03,Gmail,Productivity,15
2026-08-04,Instagram,Social Media,160
2026-08-04,YouTube,Entertainment,130
2026-08-04,WhatsApp,Communication,55
2026-08-04,Spotify,Music,50
2026-08-04,LinkedIn,Social Media,35
2026-08-04,Netflix,Entertainment,40
2026-08-05,VS Code,Coding,90
2026-08-05,Chrome,Education,40
2026-08-05,WhatsApp,Communication,30
2026-08-05,Spotify,Music,35
2026-08-05,ChatGPT,Productivity,25
2026-08-05,Gmail,Productivity,10
2026-08-06,VS Code,Coding,190
2026-08-06,ChatGPT,Productivity,55
2026-08-06,Chrome,Education,60
2026-08-06,WhatsApp,Communication,35
2026-08-06,Spotify,Music,40
2026-08-06,LinkedIn,Social Media,25
2026-08-06,Gmail,Productivity,15
2026-08-07,VS Code,Coding,110
2026-08-07,ChatGPT,Productivity,35
2026-08-07,WhatsApp,Communication,30
2026-08-07,Chrome,Education,35
2026-08-07,Spotify,Music,25
2026-08-07,Instagram,Social Media,15
2026-08-07,Gmail,Productivity,10
